0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
0.008229679,0.027290159,0.041246594,0.018520407,0.015127376,0.030865266,0.048671752,0.0495225,0.019549784,0.019449438,0.013085322,0.010683695,0.016359928,0.045617571,0.019365114,0.016977754,0.008252552,0.03524247,0.017463298,0.047114445,0.019735673,0.014250866,0.007039877,0.015957694,0.019002219,0.032742193,0.023053837,0.023405303,0.014914683,0.005186519,0.016634214,0.018641517,0.019945957,0.020104643,0.013650726,0.008791512,0.035809567,0.01512049,0.01402339,0.014719086,0.008345525,0.01452583,0.024168222,0.017404806,0.01018514,0.013244166,0.011738985,0.010700796,0.024216351,0.017990521,0.011156228,0.019341571,0.013858906,0.013511238,0.01800767,0.012952958,0.00821599,0.020999901,0.012560076,0.010048666,0.006242023,0.017270133,0.006879874,0.024911922,0.012171618,0.02740004,0.028397313,0.016472423,0.005758645,0.027264067,0.009444958,0.014734279,0.007162432,0.005567655,0.01463928,0.024998304,0.009723512,0.007190197,-0.002872907,0.005687258,0.01927276,0.020624569,0.011774058,0.004877485,0.000827412,0.012937126,0.017667374,0.017385219,0.01280508,0.010638525,0.003197892,0.002411102,0.004340566,0.014390718,0.016258898,0.014742814,-0.00631813,0.000109541,0.003247722,0.013169477,0.017403442,0.010742306,-0.005261469,-0.000976377,0.02168963,0.011902953,0.008725512,0.019863966,0.004874671,0.016433014,0.039727688,0.010007362,0.004968731,0.02362463,-0.004524292,0.007622222,0.034914522,0.016610448,0.004012018,0.009364474,0.00602078,0.008065549,0.018299743,0.018299743,0.018299743
0.008238896,0.040792693,0.03744783,0.018423226,0.01497222,0.019960688,0.036564532,0.054305916,0.019106117,0.018709147,0.013263576,0.013636481,0.018946216,0.052023167,0.020126142,0.012621856,0.009843713,0.031113292,0.025082115,0.053126189,0.016135029,0.010445028,0.008316402,0.017002347,0.022508269,0.036174608,0.028057401,0.020300607,0.01440952,0.006567946,0.019867177,0.020061999,0.026422849,0.018398901,0.016691211,0.012715542,0.047373602,0.018580741,0.019230313,0.01545144,0.014310478,0.018078638,0.033498864,0.020339065,0.015442914,0.018213254,0.01301919,0.01017738,0.028012509,0.017309652,0.016341823,0.024593079,0.013198959,0.014413486,0.020684623,0.021569745,0.013343565,0.025905739,0.010934766,0.010824413,0.003512308,0.02569715,0.015615545,0.029066618,0.009642963,0.021839094,0.02819452,0.024073617,0.018880682,0.032068402,0.007308954,0.013667149,0.011209596,0.014551393,0.029293745,0.026183819,0.007012504,0.009553161,0.004048491,0.006699683,0.025191254,0.019172803,0.009947752,0.006951635,0.006374032,0.011399458,0.019859132,0.013942331,0.010793733,0.010123501,0.006796286,-0.000461948,0.006856592,0.01067075,0.013392018,0.010975611,-0.001413048,0.000737011,0.003473329,0.010144942,0.015810032,0.009622108,-0.000384046,0.001735941,0.018872676,0.008120362,0.008861695,0.015945864,0.005687789,0.018681382,0.031274072,0.005880618,0.006579498,0.020359092,-0.003142762,0.012084289,0.026463657,0.0130899,0.008077937,0.016437374,0.011522917,0.006329568,0.015880414,0.015880414,0.015880414
0.00764288,0.057102103,0.023833451,0.014677416,0.009506894,0.01346745,0.031314371,0.05222612,0.019382625,0.014924026,0.008273684,0.012442133,0.023144266,0.05806738,0.020228387,0.007630225,0.007286046,0.022480376,0.030292469,0.05939776,0.013093941,0.006342232,0.007144619,0.013115429,0.026129531,0.037521142,0.031469024,0.01617716,0.014299711,0.002934281,0.023626275,0.029628029,0.026272134,0.015709411,0.019861,0.015832336,0.053294605,0.021258812,0.030501472,0.014670925,0.021175384,0.0200106,0.042393058,0.012068577,0.023555668,0.020222446,0.016056098,0.008933989,0.029121778,0.004007247,0.019774653,0.025460036,0.015292601,0.008998486,0.022972053,0.012682635,0.013996955,0.027249299,0.013402607,0.009694854,0.003842597,0.018474655,0.019800286,0.03097823,0.011241138,0.014982821,0.025801394,0.025803137,0.033536702,0.035848311,0.008629092,0.011077134,0.016888711,0.008088881,0.039899338,0.028516419,0.007956678,0.011537067,0.015911539,0.005191234,0.03245946,0.020078831,0.011167757,0.009257702,0.012074015,0.015065075,0.025286104,0.014572074,0.01227814,0.005559532,0.008188995,0.006379904,0.011067585,0.011233561,0.013427527,0.006734651,0.005463173,0.005507984,0.007653524,0.01093843,0.015367051,0.005803072,0.00446896,0.003668022,0.016261514,0.007865672,0.009404744,0.010822624,0.006474429,0.00791667,0.02238818,0.005145238,0.006408897,0.013320668,0.007113909,0.010216081,0.015893114,0.009140785,0.007258055,0.013188256,0.008792284,0.007755831,0.010021103,0.010021103,0.010021103
0.006481615,0.074393774,0.018538148,0.012733233,0.006192725,0.012862849,0.028684794,0.049070471,0.018192941,0.012990131,0.005578753,0.012629041,0.026043961,0.056650995,0.023802153,0.006450871,0.006374826,0.015750833,0.034639759,0.05812937,0.019686767,0.006195409,0.006986984,0.010857287,0.028642277,0.042521989,0.031778843,0.01353289,0.012033231,0.00117165,0.02637639,0.039493744,0.028254582,0.013058655,0.018098033,0.015881507,0.052017947,0.024794611,0.029487713,0.012592656,0.019343594,0.016817108,0.043873709,0.015071265,0.027010413,0.019065045,0.012440106,0.005457922,0.028262834,0.007603215,0.02559688,0.022214017,0.009879229,0.003638563,0.024539899,0.012741734,0.015264562,0.023593095,0.00737494,0.004411861,0.005595985,0.018997397,0.026917195,0.027845238,0.003829746,0.005108634,0.024341819,0.01642355,0.031699912,0.034792286,0.003802667,0.00671739,0.022375636,0.003195623,0.045527054,0.028177565,0.006296316,0.009859607,0.02325382,0.005076045,0.025177203,0.020288703,0.010792432,0.011033674,0.018939583,0.013470417,0.025668249,0.016203648,0.010586958,0.003242222,0.011858009,0.012724161,0.014489503,0.012899339,0.010783674,0.002052681,0.014159245,0.015141131,0.014002021,0.012126241,0.011855333,0.003140421,0.015935591,0.013239481,0.019495196,0.009957217,0.008307504,0.006059223,0.008980433,0.009882763,0.019091735,0.01011865,0.008710427,0.009219824,0.025093379,0.01422715,0.014160786,0.011151242,0.009617245,0.013027921,0.013477202,0.010543901,0.007318376,0.007318376,0.007318376
0.004921417,0.082671129,0.019181209,0.008332855,0.008189593,0.015906104,0.02876334,0.042887336,0.020038155,0.009068228,0.008495849,0.008324091,0.025626404,0.056313608,0.030070073,0.00527105,0.008334137,0.010526612,0.03468122,0.054830848,0.030061637,0.007809387,0.008410133,0.010679201,0.029175515,0.047058403,0.038446762,0.011459246,0.011944024,0.003670205,0.027637969,0.046147521,0.032458139,0.010403504,0.016183846,0.01685711,0.043293623,0.027268672,0.031385746,0.010004017,0.019045333,0.017685418,0.041934869,0.022050753,0.0319024,0.016108096,0.011745008,0.005880462,0.023713406,0.021532746,0.03027201,0.016465908,0.008555232,0.004924066,0.025247339,0.01567946,0.017357935,0.017375115,0.007288641,0.00396592,0.009003372,0.016831133,0.022181962,0.021866116,0.002959053,0.001580505,0.024460327,0.012852471,0.033574121,0.030339885,0.002303102,0.002278193,0.02032252,0.009881227,0.044546138,0.025648838,0.003071127,0.008541419,0.030616536,0.009119151,0.025042425,0.019756617,0.004420245,0.008750303,0.022195754,0.013440477,0.02738201,0.01774556,0.006479313,0.004650946,0.01701217,0.006293391,0.019544494,0.014996975,0.007691211,-0.000134755,0.023605489,0.015875467,0.021861753,0.01388364,0.008652507,-0.000449592,0.022656332,0.017894652,0.019323123,0.008202217,0.0072233,0.000701686,0.006152526,0.018767412,0.010722195,0.010432887,0.009166182,0.0058266,0.041440031,0.023741941,0.002702959,0.007052203,0.013526376,0.015161418,0.022805035,0.017049377,0.006783851,0.006783851,0.006783851
0.003292659,0.080683911,0.022830048,0.006521495,0.001502223,0.020260616,0.027200006,0.035458201,0.020322477,0.007298495,0.002616335,0.005937175,0.022404637,0.053245611,0.033703829,0.006150007,0.007299522,0.007555459,0.031513613,0.047658096,0.037918187,0.008259122,0.007387172,0.010856844,0.026667174,0.055077666,0.046957157,0.007937499,0.010515261,0.007392064,0.025345178,0.048268909,0.034491079,0.006091146,0.018104509,0.01595358,0.029061032,0.026344713,0.035009716,0.005725345,0.02246118,0.018103161,0.035566387,0.03013025,0.030541162,0.010514521,0.014439952,0.007010286,0.017485065,0.037264026,0.031087444,0.009618037,0.011589456,0.008339704,0.023901526,0.020471578,0.019085034,0.011668351,0.010355342,0.00400511,0.014169748,0.018430742,0.017849579,0.014858493,0.006640091,0.003249553,0.02570236,0.011880907,0.034511877,0.023784454,0.0056882,0.004022455,0.022085265,0.01833862,0.042000578,0.022556962,0.005573446,0.011721392,0.038978942,0.012680885,0.030388291,0.020049567,0.006144613,0.012364593,0.029857726,0.021258569,0.030487883,0.0204134,0.009096975,0.009655529,0.022639652,0.01490862,0.021812662,0.018169377,0.00865594,0.00323762,0.033933176,0.026060727,0.022433599,0.016542186,0.007709395,0.003118184,0.033596934,0.025867033,0.021051643,0.011732584,0.006684912,7.40E-05,0.008746944,0.030671982,0.013032951,0.01417172,0.009220077,0.003159164,0.053128441,0.031875857,0.004754258,0.008744464,0.017511999,0.019319399,0.035060614,0.024976154,0.006782405,0.006782405,0.006782405
0.001894216,0.069376323,0.027374651,0.007030026,0.001148422,0.025164458,0.025139502,0.026874833,0.021659952,0.008204068,0.002664239,0.006101116,0.012496589,0.046667546,0.036327963,0.010077109,0.006952521,0.008097099,0.021992187,0.036793898,0.043073323,0.011630769,0.007565486,0.011642514,0.017972474,0.05143252,0.053570861,0.007575566,0.010567083,0.011925478,0.020902554,0.045563233,0.03582425,0.004848011,0.015842177,0.014925917,0.012709592,0.023131179,0.038521427,0.003681804,0.020862894,0.01926951,0.026403631,0.036093962,0.02995994,0.006108955,0.01882615,0.009632754,0.010684012,0.050828978,0.030067541,0.003324031,0.017828788,0.013901206,0.01982075,0.02487153,0.022832918,0.004101619,0.017751795,0.00821686,0.017134493,0.023222033,0.019127549,0.005517493,0.013205589,0.008897506,0.025336693,0.01736557,0.038177382,0.011662669,0.009963529,0.00954006,0.024722998,0.029093249,0.038837143,0.013006197,0.011545097,0.016942796,0.042902304,0.015192105,0.036573609,0.012334886,0.01202636,0.0189242,0.036410261,0.027525129,0.029812251,0.014189426,0.014439667,0.016948943,0.026168477,0.028986823,0.022008706,0.013664833,0.012333151,0.009336913,0.041963781,0.036006617,0.021206882,0.012709251,0.008821892,0.008654486,0.046146415,0.030302655,0.026599692,0.011698736,0.00792025,0.00250894,0.015276107,0.042724371,0.015899748,0.015304535,0.007152392,0.002280315,0.057442817,0.042650208,0.016033288,0.012903605,0.017959176,0.020233628,0.041686974,0.032401195,0.013101959,0.013101959,0.013101959
0.000955819,0.052093533,0.031776653,0.009631082,0.007445897,0.027064817,0.02518871,0.021836999,0.021451985,0.009407231,0.009400164,0.007803393,0.007903279,0.042242744,0.033465746,0.010884058,0.011731538,0.009189767,0.013103199,0.02631717,0.039906098,0.014287825,0.012746576,0.011709833,0.010361051,0.049022815,0.053021092,0.009690462,0.013974853,0.01528079,0.015409248,0.03954011,0.037072541,0.007575773,0.015734815,0.012192518,0.000464007,0.01857563,0.040558642,0.006426117,0.019396428,0.018879094,0.016441639,0.038878393,0.030070194,0.006478293,0.017741127,0.011653186,0.005648477,0.060002713,0.027083458,0.003814349,0.018877917,0.018856564,0.015154771,0.028626342,0.025580491,0.003222736,0.018965808,0.013731314,0.018746078,0.030819397,0.022638799,0.002817327,0.016688557,0.015095028,0.0224821,0.026868779,0.037281094,0.005968325,0.013123189,0.017094299,0.024004011,0.035695396,0.033256906,0.008661996,0.016322561,0.023193448,0.041099457,0.020058148,0.04345281,0.009548722,0.018382975,0.026460753,0.039697652,0.036311516,0.032733923,0.011580931,0.020176611,0.023980233,0.026736083,0.043108463,0.023597691,0.012083735,0.01778296,0.017210584,0.04462553,0.041042729,0.020462145,0.011449248,0.011689556,0.018385787,0.054334512,0.036217796,0.033111387,0.014545817,0.010317538,0.011100705,0.021904955,0.050741116,0.025706351,0.018828363,0.008493946,0.006000562,0.052471279,0.045268502,0.027227011,0.016142026,0.018454178,0.022503537,0.045616525,0.032520162,0.013815394,0.013815394,0.013815394
0.000597629,0.035391662,0.035231306,0.012154099,0.014980806,0.022421659,0.027441342,0.013357169,0.017517799,0.011430752,0.018218674,0.011096051,0.009562946,0.034082964,0.027891876,0.012051526,0.017416183,0.008626876,0.010923166,0.023582789,0.035116705,0.01178067,0.01894621,0.010512448,0.006287508,0.054253145,0.050052636,0.00419944,0.01756463,0.015819927,0.010702872,0.034025233,0.037378568,0.002188416,0.015699194,0.007834771,-0.001178433,0.015403061,0.040591007,0.001708635,0.018813208,0.015288737,0.007797458,0.039402132,0.024957762,0.003998021,0.01795636,0.010862484,0.003728811,0.062252381,0.022765151,0.007037562,0.020617775,0.01989528,0.012608811,0.031971567,0.026229576,0.006439091,0.022588046,0.016623096,0.018674308,0.039221112,0.02685996,0.004602216,0.02116985,0.016045516,0.019197388,0.040424142,0.036227672,0.004084434,0.01737051,0.018654961,0.022917158,0.040705482,0.032510545,0.006278449,0.020036661,0.021311515,0.035493111,0.024124102,0.052735512,0.006959964,0.024464749,0.024199658,0.040311498,0.044102862,0.039995587,0.010033128,0.025311105,0.023973966,0.022700679,0.051854328,0.02540284,0.010272159,0.019485574,0.01960061,0.04014896,0.04399444,0.021408269,0.010758741,0.012741949,0.024453174,0.055179168,0.041038205,0.04070716,0.017486022,0.011331491,0.016225085,0.02622576,0.055343747,0.033148692,0.022550238,0.012005729,0.011816795,0.041197699,0.051245253,0.034024884,0.019697096,0.019272552,0.027154992,0.047130265,0.033814539,0.01668468,0.01668468,0.01668468
0.002335648,0.021011795,0.025154076,0.014123347,0.021224948,0.02022761,0.021303867,0.005906974,0.020163569,0.014730626,0.024438759,0.014936159,0.014185489,0.021262762,0.023620245,0.014040013,0.020827516,0.012943215,0.015403847,0.014197429,0.030567872,0.01214791,0.023902417,0.011915167,0.007523772,0.042456489,0.048961228,0.007082043,0.022079059,0.015901291,0.008585088,0.020024974,0.033286819,0.002124521,0.017249808,0.004919296,-0.001370021,0.010117,0.034628441,-0.000659316,0.020948369,0.01179734,0.002840441,0.033592872,0.020802503,0.000908658,0.019674121,0.009887722,0.005012453,0.054824154,0.019212051,0.005142974,0.021664507,0.020235484,0.00639226,0.027101705,0.027145453,0.005890557,0.024405339,0.018747611,0.014416068,0.039777199,0.030760103,0.003377293,0.02424387,0.01623249,0.013824486,0.047093292,0.03468705,0.003293105,0.019975549,0.019670343,0.020063248,0.044079148,0.025944309,0.006418383,0.021764174,0.020209646,0.024628917,0.029031979,0.04807393,0.007167239,0.027287082,0.02494601,0.033813117,0.041584396,0.037532513,0.009306018,0.026226245,0.024176035,0.016683038,0.054089239,0.02620411,0.009465707,0.018571379,0.022042287,0.031014303,0.043509029,0.022074829,0.009506663,0.013415974,0.027589857,0.048550154,0.043005685,0.03985015,0.018510963,0.013303181,0.020238052,0.026332072,0.055323174,0.033506218,0.023976919,0.016901943,0.015697702,0.026570861,0.053865642,0.038572975,0.022107246,0.01884235,0.025801237,0.041253526,0.035564193,0.022867415,0.022867415,0.022867415
